Store No  |Bin No|Item No   |Item Desc                                         |UOM   |Item Cat      |Item Cat Desc                                     |Item Sub Cat                                                                        |Item Sub Cat Desc                                 |On Hand Qty      |Unit Price      |On Hand Value    
MAIN STORE|NONE  |200875    |JOINTS MT1 METAPLAST                              |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000256.000| 00000053.80000 | 000000013772.80 
MAIN STORE|NONE  |200883    |JOINTS SMALL LJBC OIL 3L                          |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200891    |JOINTS LARGE LJBC OIL 6L                          |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200905    |JOINTS MT 2 METAPLAST                             |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000002.000| 00000320.84000 | 000000000641.68 
MAIN STORE|NONE  |200913    |JOINTS MT 3_METAPLAST                             |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|200971    |JOINTS MT 5                                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000031.000| 00001260.00000 | 000000039060.00 
MAIN STORE|NONE  |200972    |JOINTS MT4 METAPLAST                              |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000034.000| 00000504.00000 | 000000017136.00 
MAIN STORE|NONE  |200973    |BRACKETS STREETLIGHT CEM/POLE                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000042.000| 00000131.47000 | 000000005521.74 
MAIN STORE|NONE  |200974    |POLE SPIGOT SIGLE 76X200MM                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200975    |POLE SPIGOT DOUBLE 76X200MM                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200976    |POLE SPIGOT SINGLE 89X200MM                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200977    |POLE SPIGOT DOUBLE 89X200MM                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200978    |POLE SPIGOT SINGLE 127X200MM                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200979    |POLE SPIGOT DOUBLE 127X200MM                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200980    |POLE SPIGOT SINGLE 76X1.5M                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200981    |POLE SPIGOT DOUBLE 76X1.5M                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200982    |POLE SPIGOT SINGLE 89X1.5M                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200983    |POLE SPIGOT DOUBLE 89X1.5M                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200984    |POLE SPIGOT SINGLE 127X1.5M                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200985    |POLE SPIGOT DOUBLE 127X1.5M                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |200986    |POLE CLAMP SINGLE SPIGOT                          |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |201022    |BREAKERS 5 AMP                                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000293.000| 00000156.00000 | 000000045708.00 
MAIN STORE|NONE  |201073    |BREAKERS 10 AMP                                   |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000328.000| 00000162.00000 | 000000053136.00 
MAIN STORE|NONE  |201189    |BREAKERS 20 AMP                                   |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000531.000| 00000227.88701 | 000000121008.00 
MAIN STORE|NONE  |201235    |BREAKERS 25 AMP                                   |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000355.000| 00000194.29039 | 000000068973.09 
MAIN STORE|NONE  |201286    |BREAKERS 30 AMP                                   |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000007.000| 00000184.00000 | 000000001288.00 
MAIN STORE|NONE  |201324    |BREAKERS 35 AMP                                   |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000074.000| 00000272.23811 | 000000020145.62 
MAIN STORE|00NONE|201375    |BREAKERS 63 AMP CURVE 1 ORANGE                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000101.000| 00000228.00000 | 000000023028.00 
MAIN STORE|00NONE|201376    |BREAKERS 63 A SF1-G3 CURVE2S/P                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000311.000| 00000174.00000 | 000000054114.00 
MAIN STORE|NONE  |201405    |BREAKERS 45 AMP                                   |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000031.000| 00000281.31548 | 000000008720.78 
MAIN STORE|00NONE|201409    |100 amp tripple pole c/b qf3 w                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000104.000| 00003451.18510 | 000000358923.25 
MAIN STORE|00NONE|201410    |125 amp tripple pole c/b qf3                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|SHF A5|201413    |BREAKERS TRIP.POLE 150A 25KA                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000171.000| 00005569.66374 | 000000952412.50 
MAIN STORE|00NONE|201421    |BREAKERS TRIP.POLE_200A 25KA                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000019.000| 00006000.00000 | 000000114000.00 
MAIN STORE|SHF A5|201448    |BREAKERS TRIP.POLE 250A 25KA                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000020.000| 00008451.34000 | 000000169026.80 
MAIN STORE|00NONE|201449    |315a c/breaker 35ka mce                           |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000025.000| 00009575.63000 | 000000239390.75 
MAIN STORE|NONE  |201529    |BREAKERS 80A CUR.1 ORANGE                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |201530    |BREAKERS 80A SF1-G3 CURVE2 S/P                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000005.000| 00000330.00000 | 000000001650.00 
MAIN STORE|NONE  |201537    |PLATES FOR BREAKERS                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000123.000| 00000005.57894 | 000000000686.21 
MAIN STORE|NONE  |201545    |BREAKERS-HANDLE LOCKING HECH.                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|SHF A7|201553    |BREAKERS SF3G3 60A CURVE 1 ORA                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000039.000| 00001200.00000 | 000000046800.00 
MAIN STORE|SHF A8|201561    |BREAKERS SF3G3 80A CURVEI ORAN                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000036.000| 00002908.44167 | 000000104703.90 
MAIN STORE|SHF A7|201588    |BREAKERS SF3G3 60A WHITE                          |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000038.000| 00000936.00000 | 000000035568.00 
MAIN STORE|SHF A8|201596    |BREAKERS SF3G3 80A WHITE                          |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000036.000| 00002356.33333 | 000000084828.00 
MAIN STORE|SHF A6|201618    |BREAKERS SF3G3 45A CURVE 1 ORA                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000119.000| 00001200.00000 | 000000142800.00 
MAIN STORE|NONE  |201625    |BREAKERS  32A 3 POLE                              |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|SHF A6|201626    |BREAKERS SF3G3 45A WHITE                          |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000040.000| 00000936.00000 | 000000037440.00 
MAIN STORE|NONE  |201641    |SCOURER SPONGE                                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |201642    |STEELWOOL                                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|201643    |REFUSE BAG                                        |PACK  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |201677    |BREAKERS 100A CURVE 2 WHITE                       |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000277.000| 00000420.00000 | 000000116340.00 
MAIN STORE|NONE  |201685    |BREAKERS 120A 5KA SFSX1G3                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|201766    |CHOKES 125W M.V.                                  |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000250.000| 00000220.81000 | 000000055202.50 
MAIN STORE|00NONE|201767    |CHOKES PARMER SQUARE 125W M/V                     |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000019.000| 00000220.81000 | 000000004195.39 
MAIN STORE|00NONE|201804    |CHOKES 250W M.V.                                  |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000218.000| 00000322.00000 | 000000070196.00 
MAIN STORE|NONE  |201805    |CHOKES BEKA HPS 250W -230V                        |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000117.000| 00000322.81000 | 000000037768.77 
MAIN STORE|NONE  |201812    |CHOKES AME 400 WATT                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000002.000| 00000588.00000 | 000000001176.00 
MAIN STORE|00NONE|201839    |CHOKES 70 WATT SON                                |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000205.000| 00000198.25000 | 000000040641.25 
MAIN STORE|NONE  |201863    |COILS 380 V 21-63                                 |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |202029    |CLIPS-ELECTRICAL                                  |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|SHF C2|202061    |CLAMPS LINE 5/8 150mm                             |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000142.000| 00000203.46000 | 000000028891.32 
MAIN STORE|SHF C3|202215    |CLAMPS LINE NO 2 35mm                             |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000001205.000| 00000065.73000 | 000000079204.65 
MAIN STORE|SHF C4|202266    |CLAMPS LINE NO 3 70mm                             |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000002430.000| 00000117.38000 | 000000285233.40 
MAIN STORE|NONE  |202271    |CONDUCTOR TR2-D18321                              |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |202272    |ta1- dn22 contactor                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |202273    |r/st - 23 contactor                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|202274    |MAGNETIC CONTACTORS                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000390.000| 00000508.65000 | 000000198373.50 
MAIN STORE|NONE  |202311    |ONEWAY CONNECORS TYPE RED                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |202312    |CONNECTORS ONE WAY_TYPE BLUE                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |202313    |ONE WAY CONNECTORS TYPE GREY                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|00NONE|202363    |CONTACTORS MITSIBUSHI 5K 62A                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000145.000| 00001519.90759 | 000000220386.60 
MAIN STORE|NONE  |202568    |COVERS BLANK                                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |202711    |DIFFUSERS 250WATT HP SODIUM HI                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |202738    |DIFFUSERS 400W PART NO 5212004                    |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |202745    |wire strands                                      |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |202746    |EARTH STRAPS 1000MM                               |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000122.000| 00000067.45484 | 000000008229.49 
MAIN STORE|NONE  |202754    |EARTH SOCK                                        |KG    |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
MAIN STORE|NONE  |202762    |ELEMENTS GEYSER 2KW + 3KW                         |EACH  |GENERAL       |GENERAL                                           |GENERAL                                                                             |GENERAL                                           | 000000000000.000| 00000000.00000 | 000000000000.00 
