supplier_name,date,inv_reference,chq_reference,inv_ref_normalized,amount,inv_has_grn_match,chq_matches_voucher,chq_matches_invno,grn_match_count,grn_voucher,grn_supplier
E.K. CONSTRUCTION AND ALL GENERAL TRADING,2023-05-10,1017266,35023,1017266,66819.6,True,False,False,1,INVI006217,E.K. CONSTRUCTION AND ALL GENERAL TRADING
MAPANE PROJECTS & ENTERPRISE (PTY) LTD,2024-10-23,1020582,47890,1020582,26640.0,True,False,False,1,INVI007616,MAPANE PROJECTS & ENTERPRISE (PTY) LTD
MAPANE PROJECTS & ENTERPRISE (PTY) LTD,2024-11-01,1020619,47939,1020619,179280.0,True,False,False,1,INVI007646,MAPANE PROJECTS & ENTERPRISE (PTY) LTD
MAPANE PROJECTS & ENTERPRISE (PTY) LTD,2024-12-05,1020799,49212,1020799,22200.0,True,False,False,1,INVI007742,MAPANE PROJECTS & ENTERPRISE (PTY) LTD
MAPANE PROJECTS & ENTERPRISE (PTY) LTD,2025-02-26,1021245,51592,1021245,11777.0,True,False,False,1,INVI007934,MAPANE PROJECTS & ENTERPRISE (PTY) LTD
MAPANE PROJECTS & ENTERPRISE (PTY) LTD,2025-05-09,1021667,53720,1021667,28880.0,True,False,False,1,INVI008121,MAPANE PROJECTS & ENTERPRISE (PTY) LTD
RONMAR OFFICE EQUIPMENT,2025-01-21,1021019,50698,1021019,681.61,True,False,False,2,INVI007846,RONMAR OFFICE EQUIPMENT
RONMAR OFFICE EQUIPMENT,2025-03-13,1021348,51919,1021348,28057.0,True,False,False,1,INVI007987,RONMAR OFFICE EQUIPMENT
RONMAR OFFICE EQUIPMENT,2025-05-14,1021691,54593,1021691,179757.65,True,False,False,1,INVI008129,RONMAR OFFICE EQUIPMENT
CREATIVE FLEET SOLUTION,2022-12-29,1016276,32203,1016276,55890.0,True,False,False,1,INVI005835,CREATIVE FLEET SOLUTION
HETANI TRADING ENTERPRISE (PTY) LTD,2024-10-10,1020489,47409,1020489,120392.34,True,False,False,1,INVI007557,HETANI TRADING ENTERPRISE (PTY) LTD
AMANDLA BUILDING & CONSTRUCTION (PTY) LTD,2022-10-20,1015533,30065,1015533,209760.0,True,False,False,1,INVI005522,AMANDLA BUILDING & CONSTRUCTION (PTY) LTD
AMANDLA BUILDING & CONSTRUCTION (PTY) LTD,2022-11-17,1015805,30765,1015805,612078.3,True,False,False,8,INVI005629,AMANDLA BUILDING & CONSTRUCTION (PTY) LTD
AMANDLA BUILDING & CONSTRUCTION (PTY) LTD,2022-11-30,1015985,31270,1015985,314640.0,True,False,False,1,INVI005703,AMANDLA BUILDING & CONSTRUCTION (PTY) LTD
AMANDLA BUILDING & CONSTRUCTION (PTY) LTD,2023-04-24,1017144,34343,1017144,165600.0,True,False,False,1,INVI006176,AMANDLA BUILDING & CONSTRUCTION (PTY) LTD
AMANDLA BUILDING & CONSTRUCTION (PTY) LTD,2023-05-11,1017273,35026,1017273,611664.3,True,False,False,1,INVI006221,AMANDLA BUILDING & CONSTRUCTION (PTY) LTD
NTT NISSAN KLERKSDORP,2024-10-02,1020436,46945,1020436,12938.6,True,False,False,1,INVI007523,NTT NISSAN KLERKSDORP
NTT NISSAN KLERKSDORP,2024-10-23,1020587,47868,1020587,126287.0,True,False,False,1,INVI007621,NTT NISSAN KLERKSDORP
NTT NISSAN KLERKSDORP,2024-11-01,1020621,47999,1020621,309711.3,True,False,False,1,INVI007648,NTT NISSAN KLERKSDORP
NTT NISSAN KLERKSDORP,2024-11-13,1020681,48061,1020681,24728.3,True,False,False,1,INVI007684,NTT NISSAN KLERKSDORP
NTT NISSAN KLERKSDORP,2024-11-15,1020698,48206,1020698,979.1,True,False,False,1,INVI007692,NTT NISSAN KLERKSDORP
NTT NISSAN KLERKSDORP,2025-01-23,1021042,50697,1021042,3966.0,True,False,False,1,INVI007857,NTT NISSAN KLERKSDORP
NTT NISSAN KLERKSDORP,2025-02-28,1021266,51552,1021266,9933.2,True,False,False,1,INVI007949,NTT NISSAN KLERKSDORP
NTT NISSAN KLERKSDORP,2025-03-28,1021414,52358,1021414,8085.4,True,False,False,1,INVI008028,NTT NISSAN KLERKSDORP
NTT NISSAN KLERKSDORP,2025-04-16,1021525,52707,1021525,101185.9,True,False,False,1,INVI008072,NTT NISSAN KLERKSDORP
NTT NISSAN KLERKSDORP,2025-06-11,1021831,54650,1021831,8118.3,True,False,False,1,INVI008200,NTT NISSAN KLERKSDORP
NTT NISSAN KLERKSDORP,2025-06-23,1021914,55075,1021914,13091.53,True,False,False,1,INVI008241,NTT NISSAN KLERKSDORP
NTT NISSAN KLERKSDORP,2025-06-26,1022004,55076,1022004,12646.0,True,False,False,1,INVI008284,NTT NISSAN KLERKSDORP
KHUWAIT GROUP OF COMPANIES,2022-07-22,1014922,27967,1014922,64830.0,False,False,False,0,,
KHUWAIT GROUP OF COMPANIES,2023-03-09,1016782,33644,1016782,186104.96,True,False,False,1,INVI006007,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2023-03-16,1016822,33645,1016822,199812.5,True,False,False,1,INVI006033,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2023-03-30,1016993,34220,1016993,232740.0,True,False,False,1,INVI006097,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2023-04-20,1017116,34283,1017116,918.9,True,False,False,1,INVI006160,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2023-04-20,1017117,34284,1017117,176640.0,True,False,False,1,INVI006161,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2023-04-20,1017118,34285,1017118,514455.54,True,False,False,4,INVI006162,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2023-05-11,1017287,35032,1017287,840000.0,True,False,False,1,INVI006225,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2023-06-05,1017587,35684,1017587,118790.4,True,False,False,1,INVI006351,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2024-09-20,1020426,46524,1020426,120392.34,True,False,False,1,INVI007509,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2024-10-03,1020459,47443,1020459,262200.0,True,False,False,1,INVI007537,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2024-10-21,1020556,47881,1020556,4370.0,True,False,False,1,INVI007602,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2024-10-29,1020598,47937,1020598,274275.0,True,False,False,2,INVI007631,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2024-11-07,1020640,48986,1020640,132269.55,True,False,False,1,INVI007661,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2025-01-30,1021074,50678,1021074,31740.0,True,False,False,1,INVI007870,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2025-03-13,1021346,51936,1021346,119600.0,True,False,False,1,INVI007984,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2025-06-23,1021923,55313,1021923,7820.0,True,False,False,1,INVI008244,KHUWAIT GROUP OF COMPANIES
KHUWAIT GROUP OF COMPANIES,2025-06-30,1022024,55314,1022024,5500.0,True,False,False,1,INVI008292,KHUWAIT GROUP OF COMPANIES
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-04-06,1017047,34211,1017047,7600.3,True,False,False,1,INVI006124,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-04-26,1017222,34836,1017222,517.5,True,False,False,1,INVI006197,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-04-26,1017223,34836,1017223,517.5,True,False,False,1,INVI006198,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-06-30,1017900,36682,1017900,1920.07,True,False,False,1,INVI006450,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-09-21,1018284,38016,1018284,5790.23,True,False,False,1,INVI006587,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-04-03,1019569,42605,1019569,6080.24,True,False,False,2,INVI007137,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE
