hr185_reference,hr185_reference_normalized,supplier_code,supplier_name,transaction_date,transaction_type,amount,has_direct_grn_match,grn_match_type,grn_match_count,linking_method,has_inherited_grn_match,match_notes,grn_voucher,grn_inv_no,grn_supplier,paired_inv_reference
0001015786,1015786,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,2350.09,True,direct,1,standard,False,Invoice transaction,INVI005624,1015786.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015787,1015787,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,1963.51,True,direct,1,standard,False,Invoice transaction,INVI005624,1015787.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015788,1015788,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,1515.06,True,direct,1,standard,False,Invoice transaction,INVI005624,1015788.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015789,1015789,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,1828.5,True,direct,1,standard,False,Invoice transaction,INVI005624,1015789.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015790,1015790,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,603.75,True,direct,1,standard,False,Invoice transaction,INVI005624,1015790.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015791,1015791,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,287.5,True,direct,1,standard,False,Invoice transaction,INVI005624,1015791.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015792,1015792,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,517.5,True,direct,1,standard,False,Invoice transaction,INVI005624,1015792.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015793,1015793,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,540.5,True,direct,1,standard,False,Invoice transaction,INVI005624,1015793.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015794,1015794,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,345.0,True,direct,1,standard,False,Invoice transaction,INVI005624,1015794.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015795,1015795,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,615.25,True,direct,1,standard,False,Invoice transaction,INVI005624,1015795.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015796,1015796,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,1035.01,True,direct,1,standard,False,Invoice transaction,INVI005624,1015796.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015797,1015797,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,2070.0,True,direct,1,standard,False,Invoice transaction,INVI005624,1015797.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001015798,1015798,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,3790.15,True,direct,1,standard,False,Invoice transaction,INVI005624,1015798.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
30758,30758,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-17,CHQ,73877.94,False,none,0,standard,False,Standalone CHQ transaction,,,,
0001016100,1016100,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-12-12,INV,6050.24,True,direct,1,standard,False,Invoice transaction,INVI005762,1016100.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016118,1016118,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-12-14,INV,8682.5,True,direct,1,standard,False,Invoice transaction,INVI005762,1016118.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016119,1016119,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-12-14,INV,1480.06,True,direct,1,standard,False,Invoice transaction,INVI005762,1016119.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016120,1016120,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-12-14,INV,4970.32,True,direct,1,standard,False,Invoice transaction,INVI005762,1016120.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
32195,32195,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-12-14,CHQ,21183.12,False,none,0,standard,False,Standalone CHQ transaction,,,,
0001016299,1016299,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-10,INV,1400.06,True,direct,1,standard,False,Invoice transaction,INVI005933,1016299.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016300,1016300,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-10,INV,1311.0,True,direct,1,standard,False,Invoice transaction,INVI005933,1016300.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016354,1016354,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,2455.1,True,direct,1,standard,False,Invoice transaction,INVI005933,1016354.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016355,1016355,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,172.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016355.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016356,1016356,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,172.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016356.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016357,1016357,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,4110.01,True,direct,1,standard,False,Invoice transaction,INVI005933,1016357.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016358,1016358,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,2455.1,True,direct,1,standard,False,Invoice transaction,INVI005933,1016358.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016359,1016359,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,172.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016359.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016360,1016360,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,172.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016360.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016361,1016361,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,1633.0,True,direct,1,standard,False,Invoice transaction,INVI005933,1016361.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016362,1016362,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,287.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016362.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016363,1016363,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,517.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016363.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016364,1016364,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,1035.0,True,direct,1,standard,False,Invoice transaction,INVI005933,1016364.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016365,1016365,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-13,INV,517.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016365.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016366,1016366,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-17,INV,1443.25,True,direct,1,standard,False,Invoice transaction,INVI005933,1016366.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016367,1016367,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-17,INV,6350.25,True,direct,1,standard,False,Invoice transaction,INVI005933,1016367.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016368,1016368,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-17,INV,1960.08,True,direct,2,standard,False,Invoice transaction,INVI005933,1016368.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016369,1016369,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-01-17,INV,2915.11,True,direct,1,standard,False,Invoice transaction,INVI005933,1016369.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016511,1016511,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,1661.75,True,direct,1,standard,False,Invoice transaction,INVI005933,1016511.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016512,1016512,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,1100.04,True,direct,1,standard,False,Invoice transaction,INVI005933,1016512.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016513,1016513,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,1100.04,True,direct,1,standard,False,Invoice transaction,INVI005933,1016513.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016514,1016514,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,1940.07,True,direct,1,standard,False,Invoice transaction,INVI005933,1016514.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016515,1016515,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,2450.1,True,direct,1,standard,False,Invoice transaction,INVI005933,1016515.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016516,1016516,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,3300.13,True,direct,1,standard,False,Invoice transaction,INVI005933,1016516.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016517,1016517,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,1995.08,True,direct,1,standard,False,Invoice transaction,INVI005933,1016517.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016518,1016518,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,8460.33,True,direct,1,standard,False,Invoice transaction,INVI005933,1016518.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016519,1016519,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,10500.42,True,direct,1,standard,False,Invoice transaction,INVI005933,1016519.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016520,1016520,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,18400.74,True,direct,1,standard,False,Invoice transaction,INVI005933,1016520.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016522,1016522,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,2200.09,True,direct,1,standard,False,Invoice transaction,INVI005933,1016522.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016523,1016523,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,1790.07,True,direct,1,standard,False,Invoice transaction,INVI005933,1016523.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016524,1016524,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,1650.07,True,direct,1,standard,False,Invoice transaction,INVI005933,1016524.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016525,1016525,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,1800.07,True,direct,1,standard,False,Invoice transaction,INVI005933,1016525.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016526,1016526,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,5830.24,True,direct,1,standard,False,Invoice transaction,INVI005933,1016526.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016527,1016527,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,3105.11,True,direct,1,standard,False,Invoice transaction,INVI005933,1016527.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016528,1016528,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,4090.16,True,direct,1,standard,False,Invoice transaction,INVI005933,1016528.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016529,1016529,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,575.0,True,direct,1,standard,False,Invoice transaction,INVI005933,1016529.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016530,1016530,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,790.04,True,direct,1,standard,False,Invoice transaction,INVI005933,1016530.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016531,1016531,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,410.01,True,direct,1,standard,False,Invoice transaction,INVI005933,1016531.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016532,1016532,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,287.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016532.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016533,1016533,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,517.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016533.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016534,1016534,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,517.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016534.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016535,1016535,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,287.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016535.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016536,1016536,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,287.5,True,direct,1,standard,False,Invoice transaction,INVI005933,1016536.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
0001016537,1016537,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-02-09,INV,1109.75,True,direct,1,standard,False,Invoice transaction,INVI005933,1016537.0,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,
