source_file,page_number,supplier_code,supplier_name,transaction_date,transaction_type,reference,amount,additional_info,document_type,report_period,file_type,report_period_start,report_period_end,original_report_period,reference_normalized
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015783,1895.05,211880,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015783
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015784,1930.08,211899,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015784
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015785,2490.1,212042,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015785
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015786,2350.09,212116,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015786
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015787,1963.51,212180,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015787
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015788,1515.06,212201,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015788
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015789,1828.5,212269,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015789
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015790,603.75,212270,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015790
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015791,287.5,212271,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015791
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015792,517.5,212272,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015792
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015793,540.5,212273,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015793
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015794,345.0,212274,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015794
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015795,615.25,212275,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015795
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015796,1035.01,212285,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015796
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015797,2070.0,212286,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015797
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-16,INV,0001015798,3790.15,212320,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1015798
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-11-17,CHQ,30758,73877.94,777,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,30758
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-12-12,INV,0001016100,6050.24,212963,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016100
1-HR185 - Transactions per Supplier - 202207 - 202306.pdf,1,200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2022-12-14,INV,0001016118,8682.5,212964,HR185_transaction,2022-07-01,PDF,2022-07-01,2023-06-30,202207-202306,1016118
