supplier_code,supplier_name,date,inv_reference,chq_reference,amount,inv_normalized,chq_normalized
103403,NTT NISSAN KLERKSDORP,2024-11-15,0001020698,48206,979.1,1020698,48206
103403,NTT NISSAN KLERKSDORP,2025-01-23,0001021042,50697,3966.0,1021042,50697
103403,NTT NISSAN KLERKSDORP,2025-02-28,0001021266,51552,9933.2,1021266,51552
103403,NTT NISSAN KLERKSDORP,2025-03-28,0001021414,52358,8085.4,1021414,52358
103403,NTT NISSAN KLERKSDORP,2025-04-16,0001021525,52707,101185.9,1021525,52707
103403,NTT NISSAN KLERKSDORP,2025-06-11,0001021831,54650,8118.3,1021831,54650
103403,NTT NISSAN KLERKSDORP,2025-06-23,0001021914,55075,13091.53,1021914,55075
103403,NTT NISSAN KLERKSDORP,2025-06-26,0001022004,55076,12646.0,1022004,55076
402547,KHUWAIT GROUP OF COMPANIES,2022-07-22,0001014922,27967,64830.0,1014922,27967
402547,KHUWAIT GROUP OF COMPANIES,2023-03-09,0001016782,33644,186104.96,1016782,33644
402547,KHUWAIT GROUP OF COMPANIES,2023-03-16,0001016822,33645,199812.5,1016822,33645
402547,KHUWAIT GROUP OF COMPANIES,2023-03-30,0001016993,34220,232740.0,1016993,34220
402547,KHUWAIT GROUP OF COMPANIES,2023-04-20,0001017116,34283,918.9,1017116,34283
402547,KHUWAIT GROUP OF COMPANIES,2023-04-20,0001017117,34284,176640.0,1017117,34284
402547,KHUWAIT GROUP OF COMPANIES,2023-04-20,0001017118,34285,514455.54,1017118,34285
402547,KHUWAIT GROUP OF COMPANIES,2023-05-11,0001017287,35032,840000.0,1017287,35032
402547,KHUWAIT GROUP OF COMPANIES,2023-06-05,0001017587,35684,118790.4,1017587,35684
402547,KHUWAIT GROUP OF COMPANIES,2024-09-20,0001020426,46524,120392.34,1020426,46524
402547,KHUWAIT GROUP OF COMPANIES,2024-10-03,0001020459,47443,262200.0,1020459,47443
402547,KHUWAIT GROUP OF COMPANIES,2024-10-21,0001020556,47881,4370.0,1020556,47881
402547,KHUWAIT GROUP OF COMPANIES,2024-10-29,0001020598,47937,274275.0,1020598,47937
402547,KHUWAIT GROUP OF COMPANIES,2024-11-07,0001020640,48986,132269.55,1020640,48986
402547,KHUWAIT GROUP OF COMPANIES,2025-01-30,0001021074,50678,31740.0,1021074,50678
402547,KHUWAIT GROUP OF COMPANIES,2025-03-13,0001021346,51936,119600.0,1021346,51936
402547,KHUWAIT GROUP OF COMPANIES,2025-06-23,0001021923,55313,7820.0,1021923,55313
402547,KHUWAIT GROUP OF COMPANIES,2025-06-30,0001022024,55314,5500.0,1022024,55314
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-04-06,0001017047,34211,7600.3,1017047,34211
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-04-26,0001017222,34836,517.5,1017222,34836
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-04-26,0001017223,34836,517.5,1017223,34836
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-06-30,0001017900,36682,1920.07,1017900,36682
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2023-09-21,0001018284,38016,5790.23,1018284,38016
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-04-03,0001019569,42605,6080.24,1019569,42605
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-04-18,0001019605,42710,2918.01,1019605,42710
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-04-24,0001019651,43410,2410.1,1019651,43410
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-06-05,0001019882,44056,3980.16,1019882,44056
200692,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,2024-10-02,0001020435,46949,9500.38,1020435,46949
