item_code,supplier_name,item_description,source_type,request_count,total_quantity,avg_quantity,first_request,last_request
170552,VARIEGATED PTY LTD,hire,GRN,1,1.0,1.0,,
170552,VNPM CONSTRUCTION  CC,hire,GRN,1,2.0,2.0,,
170948,GOMOTSEGAN GROUP,events,GRN,1,1.0,1.0,,
169221,GAMES & PC SOUND CC,REPAIRS,GRN,1,1.0,1.0,,
169221,EDMAUREEN TYRES AND MAGS REPAIR,REPAIRS,GRN,1,2.0,2.0,,
166549,MBOROMANE TRADING,SUPPLY,GRN,1,1.0,1.0,,
169221,BIG 2 CIVILS TA UD TRU CKS GBS,REPAIRS,GRN,1,1.0,1.0,,
166565,FRIEDENTHAL EN SEUNS TA CHAMPION WHEEL & TYRE,tube26 inch,GRN,1,1.0,1.0,,
167158,GAMES & PC SOUND CC,MOUSE MECER USB,GRN,1,2.0,2.0,,
167158,WALTONS (PTY) LTD,MOUSE MECER USB,GRN,1,5.0,5.0,,
167226,BATSEBE HOLDINGS,HIRE OF WATER TANKER,GRN,1,9.0,9.0,,
167226,BOLEKANO BUILDING CONTRACTORS,HIRE OF WATER TANKER,GRN,1,160.0,160.0,,
167226,GOE TRADING,HIRE OF WATER TANKER,GRN,1,160.0,160.0,,
167226,HETANI TRADING ENTERPRISE (PTY) LTD,HIRE OF WATER TANKER,GRN,1,600.0,600.0,,
