item_code,supplier_name,item_description,source_type,request_count,total_quantity,avg_quantity,first_request,last_request
242607,HENOWS PROJECTS (PTY) LTD,COUPLINGS JOHNSON 340-356MM,GRN,1,50.0,50.0,,
138751,BATHO BAGAGWE IT CC,drive shaft,GRN,1,3.0,3.0,,
138970,LITHITHA ROOTS,SAFE BOX,GRN,1,1.0,1.0,,
138984,LETSHABO DEVELOPERS (PTY) LTD,books/pads 50xthree a4,GRN,1,3000.0,3000.0,,
138984,NOEMIA TRADING,books/pads 50xthree a4,GRN,1,5000.0,5000.0,,
139035,NATIONAL BRAKE TESTING SERVICES PTY LTD,TRAVEL,GRN,1,1.0,1.0,,
139129,TSEKGO PROJECTS CONSTRUCTION CC,STEEL,GRN,1,2.0,2.0,,
139267,GAMES & PC SOUND CC,lithium batteries,GRN,1,1.0,1.0,,
139295,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,HIRE OF CRAWLER EXCAVATOR & TI,GRN,1,1.0,1.0,,
140825,DIRABOTLE PROJECTS (PTY) LTD,material,GRN,1,11.0,11.0,,
140825,ESSOPS LINEN HOUSE,material,GRN,1,1.0,1.0,,
140825,KWENDE CONSTRUCTION CC TA KWENDE ELECTRICAL SUPPL,material,GRN,1,1.0,1.0,,
140825,RAYPOWER TRADING PTY LTD,material,GRN,1,25.0,25.0,,
140825,ZIHLANGENE PROJECTS,material,GRN,1,1.0,1.0,,
140876,GAMES & PC SOUND CC,cart partic dust,GRN,1,1.0,1.0,,
141564,MZH HOLDINGS (PTY) LTD,SUPPLY,GRN,1,1.0,1.0,,
141846,FRESHMARK SYSTEMS (PTY) LTD,MONTHLY,GRN,1,1.0,1.0,,
142101,MAHUBE TRAINING AND DEVELOPMENT CC,training,GRN,1,1.0,1.0,,
142460,K.J STATIONERS,PRINTY STAMP 4913,GRN,1,1.0,1.0,,
142516,YEYE TRADING ENTERPRISE,CYLINDER LOCKSET SOLID,GRN,1,5.0,5.0,,
142661,BUSHIE HOLDINGS,SOFTWARE SUPPORT,GRN,1,1.0,1.0,,
138780,NTFULINI TRANSPORT,provision for road sign-traff,GRN,1,1.0,1.0,,
138406,UPRIGHT AGRICULTURE,TRADITIONAL DANCE,GRN,1,1.0,1.0,,
138270,RHUONE PROJECTS AND PLANT HIRE,SUPPLY AND DELIVERY,GRN,1,157.0,157.0,,
138406,TSHIAMELO YA TLHABOLOGO,TRADITIONAL DANCE,GRN,1,1.0,1.0,,
138270,SERVICES FOR WATER AND SANITATION,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,SETOUTO PROJECTS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,SETUMILE ADAM (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,SISIPHO GROUP,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,SOKUPHA INVESTMENTS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,SUNDAY KIT UNIFORM SUPPLIES CC,SUPPLY AND DELIVERY,GRN,1,340.0,340.0,,
138270,SUNSET GLOBAL GROUP (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,TLOTLO MANQOBA SOLUTIONS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,TSAKANE 247 (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,UMQHELE MBOMA (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,WALTONS (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,WESTERN FABRICS C.C.,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,YEYE TRADING ENTERPRISE,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,YEYE TRADINGO AND ENTERPRISE (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,ZAIFOCOM TRADING ENTERPRISE,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138270,ZHUFU (PTY) LTD,SUPPLY AND DELIVERY,GRN,1,1.0,1.0,,
138380,ISAKHONO AFRICA SERVICE,STATIONERY AS PER QOUTATION,GRN,1,1.0,1.0,,
138406,KGOLAGANO CULTURAL GROUP,TRADITIONAL DANCE,GRN,1,1.0,1.0,,
138406,KKM ENTERTAINMENT AND MUSIC,TRADITIONAL DANCE,GRN,1,1.0,1.0,,
